INFO     | 2024-09-25 12:53:40,951 | progress   |       Finished subset 141/551, 25.59 percent done
INFO     | 2024-09-25 12:53:41,043 | progress   |       Finished subset 142/551, 25.77 percent done
INFO     | 2024-09-25 12:53:41,410 | progress   |       Finished subset 143/551, 25.95 percent done
INFO     | 2024-09-25 12:53:41,490 | progress   |       Finished subset 144/551, 26.13 percent done
INFO     | 2024-09-25 12:53:41,578 | progress   |       Finished subset 145/551, 26.32 percent done
INFO     | 2024-09-25 12:53:41,755 | progress   |       Finished subset 146/551, 26.50 percent done
INFO     | 2024-09-25 12:53:41,797 | progress   |       Finished subset 147/551, 26.68 percent done
INFO     | 2024-09-25 12:53:41,880 | progress   |       Finished subset 148/551, 26.86 percent done
INFO     | 2024-09-25 12:53:42,029 | progress   |       Finished subset 149/551, 27.04 percent done
INFO     | 2024-09-25 12:53:42,056 | progress   |       Finished subset 150/551, 27.22 percent done
INFO     | 2024-09-25 12:53:42,146 | progress   |       Finished subset 151/551, 27.40 percent done
INFO     | 2024-09-25 12:53:42,264 | progress   |       Finished subset 152/551, 27.59 percent done
INFO     | 2024-09-25 12:53:42,322 | progress   |       Finished subset 153/551, 27.77 percent done
INFO     | 2024-09-25 12:53:42,406 | progress   |       Finished subset 154/551, 27.95 percent done
INFO     | 2024-09-25 12:53:42,558 | progress   |       Finished subset 155/551, 28.13 percent done
INFO     | 2024-09-25 12:53:42,588 | progress   |       Finished subset 156/551, 28.31 percent done
INFO     | 2024-09-25 12:53:42,674 | progress   |       Finished subset 157/551, 28.49 percent done
INFO     | 2024-09-25 12:53:42,756 | progress   |       Finished subset 158/551, 28.68 percent done
INFO     | 2024-09-25 12:53:42,914 | progress   |       Finished subset 159/551, 28.86 percent done
INFO     | 2024-09-25 12:53:42,944 | progress   |       Finished subset 160/551, 29.04 percent done
INFO     | 2024-09-25 12:53:43,062 | progress   |       Finished subset 161/551, 29.22 percent done
INFO     | 2024-09-25 12:53:43,173 | progress   |       Finished subset 162/551, 29.40 percent done
INFO     | 2024-09-25 12:53:43,324 | progress   |       Finished subset 163/551, 29.58 percent done
INFO     | 2024-09-25 12:53:43,352 | progress   |       Finished subset 164/551, 29.76 percent done
INFO     | 2024-09-25 12:53:43,496 | progress   |       Finished subset 165/551, 29.95 percent done
INFO     | 2024-09-25 12:53:43,524 | progress   |       Finished subset 166/551, 30.13 percent done
INFO     | 2024-09-25 12:53:43,626 | progress   |       Finished subset 167/551, 30.31 percent done
INFO     | 2024-09-25 12:53:43,713 | progress   |       Finished subset 168/551, 30.49 percent done
INFO     | 2024-09-25 12:53:43,790 | progress   |       Finished subset 169/551, 30.67 percent done
INFO     | 2024-09-25 12:53:43,885 | progress   |       Finished subset 170/551, 30.85 percent done
INFO     | 2024-09-25 12:53:43,968 | progress   |       Finished subset 171/551, 31.03 percent done
INFO     | 2024-09-25 12:53:44,053 | progress   |       Finished subset 172/551, 31.22 percent done
INFO     | 2024-09-25 12:53:44,264 | progress   |       Finished subset 173/551, 31.40 percent done
INFO     | 2024-09-25 12:53:44,428 | progress   |       Finished subset 174/551, 31.58 percent done
INFO     | 2024-09-25 12:53:44,527 | progress   |       Finished subset 175/551, 31.76 percent done
INFO     | 2024-09-25 12:53:44,676 | progress   |       Finished subset 176/551, 31.94 percent done
INFO     | 2024-09-25 12:53:44,706 | progress   |       Finished subset 177/551, 32.12 percent done
INFO     | 2024-09-25 12:53:44,784 | progress   |       Finished subset 178/551, 32.30 percent done
INFO     | 2024-09-25 12:53:45,029 | progress   |       Finished subset 179/551, 32.49 percent done
INFO     | 2024-09-25 12:53:45,131 | progress   |       Finished subset 180/551, 32.67 percent done
INFO     | 2024-09-25 12:53:45,666 | progress   |       Finished subset 181/551, 32.85 percent done
INFO     | 2024-09-25 12:53:45,783 | progress   |       Finished subset 182/551, 33.03 percent done
INFO     | 2024-09-25 12:53:45,827 | progress   |       Finished subset 183/551, 33.21 percent done
INFO     | 2024-09-25 12:53:45,929 | progress   |       Finished subset 184/551, 33.39 percent done
INFO     | 2024-09-25 12:53:46,012 | progress   |       Finished subset 185/551, 33.58 percent done
INFO     | 2024-09-25 12:53:46,099 | progress   |       Finished subset 186/551, 33.76 percent done
INFO     | 2024-09-25 12:53:46,237 | progress   |       Finished subset 187/551, 33.94 percent done
INFO     | 2024-09-25 12:53:46,291 | progress   |       Finished subset 188/551, 34.12 percent done
INFO     | 2024-09-25 12:53:46,343 | progress   |       Finished subset 189/551, 34.30 percent done
INFO     | 2024-09-25 12:53:46,432 | progress   |       Finished subset 190/551, 34.48 percent done
INFO     | 2024-09-25 12:53:46,503 | progress   |       Finished subset 191/551, 34.66 percent done
INFO     | 2024-09-25 12:53:46,586 | progress   |       Finished subset 192/551, 34.85 percent done
INFO     | 2024-09-25 12:53:46,720 | progress   |       Finished subset 193/551, 35.03 percent done
INFO     | 2024-09-25 12:53:46,972 | progress   |       Finished subset 194/551, 35.21 percent done
INFO     | 2024-09-25 12:53:47,053 | progress   |       Finished subset 195/551, 35.39 percent done
INFO     | 2024-09-25 12:53:47,181 | progress   |       Finished subset 196/551, 35.57 percent done
INFO     | 2024-09-25 12:53:47,234 | progress   |       Finished subset 197/551, 35.75 percent done
